x,z,t
711.000000000,240.504570000,54.264285714
712.000000000,240.596160000,54.314285714
713.000000000,240.694590000,54.364285714
714.000000000,240.799680000,54.414285714
715.000000000,240.911250000,54.464285714
716.000000000,241.029120000,54.514285714
717.000000000,241.153110000,54.564285714
718.000000000,241.283040000,54.614285714
719.000000000,241.418730000,54.664285714
720.000000000,241.560000000,54.714285714
721.000000000,241.706670000,54.764285714
722.000000000,241.858560000,54.814285714
723.000000000,242.015490000,54.864285714
724.000000000,242.177280000,54.914285714
725.000000000,242.343750000,54.964285714
726.000000000,242.514720000,55.014285714
727.000000000,242.690010000,55.064285714
728.000000000,242.869440000,55.114285714
729.000000000,243.052830000,55.164285714
730.000000000,243.240000000,55.214285714
731.000000000,243.430770000,55.264285714
732.000000000,243.624960000,55.314285714
733.000000000,243.822390000,55.364285714
734.000000000,244.022880000,55.414285714
735.000000000,244.226250000,55.464285714
736.000000000,244.432320000,55.514285714
737.000000000,244.640910000,55.564285714
738.000000000,244.851840000,55.614285714
739.000000000,245.064930000,55.664285714
740.000000000,245.280000000,55.714285714
741.000000000,245.496870000,55.764285714
742.000000000,245.715360000,55.814285714
743.000000000,245.935290000,55.864285714
744.000000000,246.156480000,55.914285714
745.000000000,246.378750000,55.964285714
746.000000000,246.601920000,56.014285714
747.000000000,246.825810000,56.064285714
748.000000000,247.050240000,56.114285714
749.000000000,247.275030000,56.164285714
750.000000000,247.500000000,56.214285714
751.000000000,247.724970000,56.264285714
752.000000000,247.949760000,56.314285714
753.000000000,248.174190000,56.364285714
754.000000000,248.398080000,56.414285714
755.000000000,248.621250000,56.464285714
756.000000000,248.843520000,56.514285714
757.000000000,249.064710000,56.564285714
758.000000000,249.284640000,56.614285714
759.000000000,249.503130000,56.664285714
760.000000000,249.720000000,56.714285714
761.000000000,249.935070000,56.764285714
762.000000000,250.148160000,56.814285714
763.000000000,250.359090000,56.864285714
764.000000000,250.567680000,56.914285714
765.000000000,250.773750000,56.964285714
766.000000000,250.977120000,57.014285714
767.000000000,251.177610000,57.064285714
